Patent Office/Journal,Patent Number/DOI,Date,Page Number
USPTO,3470185,1969.09.30,1
EPO,EP 1856 102 B1,2005.02.28,2
USPTO,US 7691900 B2,2010.04.06,4
USPTO,US 2012/0014907 A1,2012.01.19,2
USPTO,US 6258803 B1,2001.07.10,2
USPTO,4490376,1984.12.25,1
USPTO,3637853,1972.01.25,1
USPTO,US 2020/0262794 A1,2020.08.20,3
USPTO,US 2021/0317107 A1,2021.10.14,10
USPTO,US 2022/0048866 A1,2022.02.17,5
USPTO,US 2023/0104311 A1,2023.04.06,3
USPTO,US 2023/0241017 A1,2023.08.03,10
USPTO,3937828,1976.02.10,2
USPTO,US 9421193 B2,2016.08.23,1
USPTO,US 9862744 B2,2018.01.09,21
USPTO,US 9884822 B2,2018.02.06,2
USPTO,US 9949961 B2,2018.04.24,3
USPTO,US 9949970 B2,2018.04.24,3
USPTO,US RE47786 E,2019.12.31,8
USPTO,US 2006/0079680 A1,2006.04.13,3
USPTO,US 2005/0080084 A1,2005.04.14,9
EPO,EP 3683 219 A1,2019.01.15,2
EPO,EP 4049 726 A1,2021.02.25,3
WIPO,WO 2006/082053 A1,2006.08.10,8
WIPO,WO 2010/000008 A1,2010.01.07,3
WIPO,WO 2017/162611 A1,2017.09.28,4
WIPO,WO 2017/211780 A1,2017.12.14,3
WIPO,WO 2019/018890 A1,2019.01.31,3
WIPO,WO 2020/252679 A1,2020.12.24,2
WIPO,WO 2021/078132 A1,2021.04.29,2
WIPO,WO 2022/263817 A1,2022.12.22,3
WIPO,WO 2022/266112 A1,2022.12.22,6
WIPO,WO 2023/034645 A2,2023.03.09,4
WIPO,WO 2023/056463 A1,2023.04.06,3
WIPO,WO 2023/122612 A2,2023.06.29,4
WIPO,WO 2023/220558 A1,2023.11.16,4
WIPO,WO 2023/229685 A2,2023.11.30,7
WIPO,WO 2024/071855 A1,2024.01.25,2
ACS Omega,10.1021/acsomega.1c04051,2021,29686
Chem. Sci.,10.1039/d3sc04668k,2024,1544
ChemistryOpen,10.1002/open.202200262,2023,13
Sci. Data,10.1038/s41597-025-05198-z,2025,7
RSC Adv.,10.1039/d0ra03075a,2020,21339
RSC Adv.,10.1039/d2ra05155a,2022,28116
RSC Adv.,10.1039/d3ra01413d,2023,11029
RSC Adv.,10.1039/d5ra02512e,2025,24772
RSC Adv,10.1039/d1ra08120a,2021,254
RSC Adv,10.1039/d2ra00049k,2022,6136
RSC Adv,10.1039/d1ra06967e,2021,35176
RSC Adv,10.1039/d2ra02139k,2022,13838
RSC Adv,10.1039/d2ra04589c,2022,29283
RSC Adv,10.1039/d2ra06961j,2022,34923
Sci. Rep.,10.1038/s41598-021-03194-y,2021,2
Sci. Rep.,10.1038/s41598-026-51883-3,2026,10
